RegionID,RegionName,City,State,CountyName,SizeRank,Date,value
93295,80219,Denver,CO,Denver,611,1996-04-01,83700.0
93252,80123,Denver,CO,Denver,753,1996-04-01,163900.0
93305,80229,Thornton,CO,Adams,943,1996-04-01,93800.0
93309,80233,Northglenn,CO,Adams,1106,1996-04-01,110100.0
93296,80220,Denver,CO,Denver,1249,1996-04-01,138500.0
93307,80231,Denver,CO,Denver,1272,1996-04-01,154300.0
93287,80210,Denver,CO,Denver,1326,1996-04-01,150600.0
93288,80211,Denver,CO,Denver,1388,1996-04-01,91400.0
93212,80022,Commerce City,CO,Adams,1681,1996-04-01,101300.0
93211,80021,Westminster,CO,Adams,1761,1996-04-01,130900.0
93282,80205,Denver,CO,Denver,1844,1996-04-01,68600.0
93280,80203,Denver,CO,Denver,1941,1996-04-01,134000.0
93320,80247,Denver,CO,Denver,1948,1996-04-01,139400.0
93281,80204,Denver,CO,Denver,2156,1996-04-01,72700.0
93297,80221,Sherrelwood,CO,Adams,2166,1996-04-01,93900.0
93219,80031,Westminster,CO,Adams,2261,1996-04-01,130200.0
93286,80209,Denver,CO,Denver,2327,1996-04-01,194300.0
93283,80206,Denver,CO,Denver,2331,1996-04-01,182300.0
93474,80601,Brighton,CO,Adams,2721,1996-04-01,127700.0
93330,80260,Thornton,CO,Adams,2863,1996-04-01,110200.0
93294,80218,Denver,CO,Denver,3055,1996-04-01,189800.0
93313,80237,Denver,CO,Denver,3118,1996-04-01,188300.0
93475,80602,Thornton,CO,Adams,3272,1996-04-01,171900.0
93315,80239,Denver,CO,Denver,3344,1996-04-01,92600.0
93316,80241,Thornton,CO,Adams,3426,1996-04-01,145400.0
93310,80234,Westminster,CO,Adams,3594,1996-04-01,140200.0
93298,80222,Denver,CO,Denver,3801,1996-04-01,129700.0
93322,80249,Denver,CO,Denver,4756,1996-04-01,129600.0
93289,80212,Denver,CO,Denver,4845,1996-04-01,103300.0
93300,80224,Denver,CO,Denver,5211,1996-04-01,151900.0
93284,80207,Denver,CO,Denver,5218,1996-04-01,85900.0
93314,80238,Denver,CO,Denver,5359,1996-04-01,131300.0
93319,80246,Denver,CO,Denver,5528,1996-04-01,146200.0
93299,80223,Denver,CO,Denver,5869,1996-04-01,82800.0
93688,81101,Alamosa,CO,Alamosa,6324,1996-04-01,52100.0
93218,80030,Westminster,CO,Adams,6779,1996-04-01,99900.0
93312,80236,Denver,CO,Denver,6891,1996-04-01,127400.0
93723,81201,Salida,CO,Chaffee,7547,1996-04-01,98500.0
93577,80863,Woodland Park,CO,Teller,7580,1996-04-01,149400.0
93737,81230,Gunnison,CO,Gunnison,7662,1996-04-01,98900.0
93306,80230,Denver,CO,Denver,8540,1996-04-01,254500.0
93493,80640,Commerce City,CO,Adams,8665,1996-04-01,144400.0
93725,81211,Buena Vista,CO,Chaffee,8677,1996-04-01,98100.0
93374,80421,Bailey,CO,Park,8799,1996-04-01,123000.0
93311,80235,Denver,CO,Denver,8995,1996-04-01,177800.0
93732,81224,Crested Butte,CO,Gunnison,9274,1996-04-01,210900.0
93551,80816,Florissant,CO,Teller,9542,1996-04-01,65100.0
93234,80102,Bennett,CO,Adams,10639,1996-04-01,123000.0
93265,80136,Strasburg,CO,Adams,10681,1996-04-01,126000.0
93549,80814,Divide,CO,Teller,10965,1996-04-01,102500.0
93396,80446,Granby,CO,Grand,11159,1996-04-01,101600.0
93393,80442,Fraser,CO,Grand,12023,1996-04-01,114900.0
93397,80447,Grand Lake,CO,Grand,12040,1996-04-01,123300.0
93392,80440,Fairplay,CO,Park,12096,1996-04-01,65500.0
93426,80482,Winter Park,CO,Grand,12277,1996-04-01,142800.0
93548,80813,Cripple Creek,CO,Teller,12902,1996-04-01,78000.0
93742,81236,Nathrop,CO,Chaffee,13610,1996-04-01,103900.0
93399,80449,Hartsel,CO,Park,14218,1996-04-01,30000.0
93562,80827,Lake George,CO,Park,14523,1996-04-01,76200.0
93405,80456,Jefferson,CO,Park,14686,1996-04-01,37300.0
93733,81225,Mount Crested Butte,CO,Gunnison,14722,1996-04-01,191100.0
93295,80219,Denver,CO,Denver,611,1996-05-01,84000.0
93252,80123,Denver,CO,Denver,753,1996-05-01,163900.0
93305,80229,Thornton,CO,Adams,943,1996-05-01,94300.0
93309,80233,Northglenn,CO,Adams,1106,1996-05-01,110600.0
93296,80220,Denver,CO,Denver,1249,1996-05-01,139700.0
93307,80231,Denver,CO,Denver,1272,1996-05-01,154700.0
93287,80210,Denver,CO,Denver,1326,1996-05-01,151400.0
93288,80211,Denver,CO,Denver,1388,1996-05-01,92000.0
93212,80022,Commerce City,CO,Adams,1681,1996-05-01,101700.0
93211,80021,Westminster,CO,Adams,1761,1996-05-01,131200.0
93282,80205,Denver,CO,Denver,1844,1996-05-01,68900.0
93280,80203,Denver,CO,Denver,1941,1996-05-01,134800.0
93320,80247,Denver,CO,Denver,1948,1996-05-01,139700.0
93281,80204,Denver,CO,Denver,2156,1996-05-01,73200.0
93297,80221,Sherrelwood,CO,Adams,2166,1996-05-01,94400.0
93219,80031,Westminster,CO,Adams,2261,1996-05-01,130700.0
93286,80209,Denver,CO,Denver,2327,1996-05-01,195000.0
93283,80206,Denver,CO,Denver,2331,1996-05-01,183000.0
93474,80601,Brighton,CO,Adams,2721,1996-05-01,127900.0
93330,80260,Thornton,CO,Adams,2863,1996-05-01,110600.0
93294,80218,Denver,CO,Denver,3055,1996-05-01,190900.0
93313,80237,Denver,CO,Denver,3118,1996-05-01,189000.0
93475,80602,Thornton,CO,Adams,3272,1996-05-01,171400.0
93315,80239,Denver,CO,Denver,3344,1996-05-01,93100.0
93316,80241,Thornton,CO,Adams,3426,1996-05-01,145700.0
93310,80234,Westminster,CO,Adams,3594,1996-05-01,140300.0
93298,80222,Denver,CO,Denver,3801,1996-05-01,130200.0
93322,80249,Denver,CO,Denver,4756,1996-05-01,130000.0
93289,80212,Denver,CO,Denver,4845,1996-05-01,104100.0
93300,80224,Denver,CO,Denver,5211,1996-05-01,152400.0
93284,80207,Denver,CO,Denver,5218,1996-05-01,86000.0
93314,80238,Denver,CO,Denver,5359,1996-05-01,131700.0
93319,80246,Denver,CO,Denver,5528,1996-05-01,147300.0
93299,80223,Denver,CO,Denver,5869,1996-05-01,83100.0
93688,81101,Alamosa,CO,Alamosa,6324,1996-05-01,52400.0
93218,80030,Westminster,CO,Adams,6779,1996-05-01,100400.0
93312,80236,Denver,CO,Denver,6891,1996-05-01,127600.0
93723,81201,Salida,CO,Chaffee,7547,1996-05-01,98900.0
93577,80863,Woodland Park,CO,Teller,7580,1996-05-01,149800.0
93737,81230,Gunnison,CO,Gunnison,7662,1996-05-01,99300.0
93306,80230,Denver,CO,Denver,8540,1996-05-01,255800.0
93493,80640,Commerce City,CO,Adams,8665,1996-05-01,144700.0
